Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	IO	MemAlloc	O3
mandelbrot_pth	elephant.log	8192	1	85.128	0.11	85,083.25	0.999	277,138,474,099	301,933,218,984	0	1	0
mandelbrot_pth	elephant.log	8192	2	45.143	0.237	86,615.39	1.919	277,230,035,303	301,853,600,398	0	1	0
mandelbrot_pth	elephant.log	8192	4	27.374	0.133	87,659.03	3.202	277,899,789,311	301,822,980,171	0	1	0
mandelbrot_pth	elephant.log	8192	8	16.0847	0.0322	90,717.77	5.64	277,633,847,959	301,550,655,808	0	1	0
mandelbrot_pth	elephant.log	8192	16	10.1268	0.0639	95,155.14	9.396	281,438,455,284	301,165,298,242	0	1	0
mandelbrot_pth	elephant.log	8192	32	7.8425	0.084	119,124.83	15.19	338,626,813,414	301,093,830,732	0	1	0
mandelbrot_pth	full.log	16	1	0.001177	0.000311	0.61	0.514	1,558,738	1,103,235	0	1	0
mandelbrot_pth	full.log	16	2	0.0017112	0.000062	1.22	0.712	1,659,854	1,173,222	0	1	0
mandelbrot_pth	full.log	16	4	0.0019161	0.0000717	1.54	0.802	1,952,674	1,320,252	0	1	0
mandelbrot_pth	full.log	16	8	0.0019057	0.0000983	1.67	0.877	2,526,182	1,626,336	0	1	0
mandelbrot_pth	full.log	16	16	0.002092	0.000128	2.08	0.993	3,910,735	2,221,037	0	1	0
mandelbrot_pth	full.log	16	32	0.0019972	0.0000196	2.11	1.059	5,844,157	3,097,983	0	1	0
mandelbrot_pth	full.log	32	1	0.0015956	0.0000836	1.17	0.733	2,215,341	1,881,804	0	1	0
mandelbrot_pth	full.log	32	2	0.0012017	0.0000314	1.03	0.86	2,425,959	1,966,033	0	1	0
mandelbrot_pth	full.log	32	4	0.0021849	0.0000486	2.03	0.93	2,645,793	2,102,740	0	1	0
mandelbrot_pth	full.log	32	8	0.0018285	0.0000906	1.97	1.079	3,321,896	2,394,426	0	1	0
mandelbrot_pth	full.log	32	16	0.0021932	0.000031	2.47	1.127	4,464,921	2,961,643	0	1	0
mandelbrot_pth	full.log	32	32	0.003873	0.000156	4.54	1.173	6,798,820	4,093,326	0	1	0
mandelbrot_pth	full.log	64	1	0.002965	0.000113	2.49	0.838	4,410,509	4,933,824	0	1	0
mandelbrot_pth	full.log	64	2	0.0021134	0.0000299	2.33	1.103	4,692,000	5,016,877	0	1	0
mandelbrot_pth	full.log	64	4	0.0025278	0.0000593	2.88	1.141	4,852,933	5,142,114	0	1	0
